Datetime,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20,t_21,t_22,t_23
2018-04-10,21469.916666666668,20404.5,19612.333333333332,19084.166666666668,19235.916666666668,20446.25,22275.083333333332,21219.583333333332,17312.416666666668,15201.0,14543.25,14519.666666666666,14968.333333333334,15503.75,16134.333333333334,17112.0,18557.666666666668,21177.166666666668,24928.166666666668,27150.583333333332,27154.583333333332,24879.25,22305.25,19553.666666666668
2018-04-11,17073.333333333332,16348.083333333334,15830.25,15799.5,16524.083333333332,18062.416666666668,19868.333333333332,19815.25,,,,,,,,,,,,,,,,
2018-04-12,17073.333333333332,16348.083333333334,15830.25,15799.5,16524.083333333332,18062.416666666668,19868.333333333332,19117.666666666668,15523.75,13484.916666666666,11835.0,10600.083333333334,9776.916666666666,9862.583333333334,10644.0,10994.583333333334,12161.5,15292.75,20134.083333333332,23817.916666666668,24851.0,23888.25,21884.333333333332,19670.75
2018-04-13,18454.083333333332,17708.666666666668,17287.333333333332,17235.333333333332,17803.916666666668,19588.916666666668,22082.25,20948.833333333332,16135.416666666666,12879.416666666666,11611.666666666666,10911.5,10616.25,10663.5,10956.333333333334,12352.5,13777.5,16586.5,21620.25,25100.833333333332,25929.0,25191.416666666668,23976.416666666668,22256.5
2018-04-14,20753.083333333332,19785.0,19054.166666666668,18635.833333333332,18686.0,19345.083333333332,19890.75,17115.416666666668,12701.333333333334,10596.166666666666,9592.833333333334,9158.166666666666,9152.75,9323.25,9737.416666666666,10599.666666666666,12119.166666666666,14875.166666666666,20129.0,23570.666666666668,24019.083333333332,22898.833333333332,21384.666666666668,19738.5
2018-04-15,18320.166666666668,17288.833333333332,16700.166666666668,16714.0,17050.166666666668,17394.583333333332,17498.666666666668,15799.25,12882.833333333334,10773.583333333334,9084.25,8556.083333333334,8545.5,9007.083333333334,10016.416666666666,11718.583333333334,13217.75,15939.916666666666,19316.833333333332,22437.416666666668,23225.833333333332,22403.416666666668,20955.666666666668,19006.0
2018-04-16,17654.333333333332,16409.5,15771.666666666666,16089.583333333334,16653.083333333332,17934.583333333332,20137.083333333332,19790.666666666668,16887.916666666668,15336.833333333334,14313.083333333334,13538.25,12735.166666666666,12536.916666666666,13215.25,14103.166666666666,14628.25,16121.25,19184.083333333332,22455.0,24360.666666666668,23958.5,22382.416666666668,20693.75
2018-04-17,19247.75,18549.416666666668,18184.083333333332,17922.416666666668,17326.083333333332,18495.333333333332,20757.416666666668,19142.0,15384.5,13886.0,12586.583333333334,12115.916666666666,11935.916666666666,11735.0,11475.583333333334,11963.333333333334,14264.666666666666,16130.416666666666,20268.416666666668,24589.0,25489.25,24883.166666666668,23304.416666666668,21616.0
2018-04-18,20660.083333333332,20137.0,19812.5,19638.833333333332,19852.5,21126.0,22779.75,21405.833333333332,17609.0,15724.416666666666,14956.416666666666,14146.0,13217.083333333334,13064.833333333334,13222.833333333334,13235.0,13996.5,16310.833333333334,20748.666666666668,24430.166666666668,25603.75,24819.083333333332,22869.833333333332,20769.666666666668
2018-04-19,18928.5,17463.0,17323.333333333332,17149.5,17394.416666666668,18058.666666666668,20009.083333333332,19178.083333333332,15516.916666666666,12659.833333333334,11768.583333333334,11278.75,11481.25,11553.166666666666,10702.75,10923.75,12782.333333333334,15362.416666666666,19113.333333333332,21701.0,22864.166666666668,21846.75,19873.583333333332,18025.416666666668
2018-04-20,16803.166666666668,16025.583333333334,15577.166666666666,15412.833333333334,16127.416666666666,17739.166666666668,19798.666666666668,17844.166666666668,13916.0,12243.75,11520.916666666666,11111.916666666666,10622.0,10569.666666666666,10835.333333333334,11133.833333333334,11654.666666666666,13697.916666666666,18011.75,21746.333333333332,22502.583333333332,21978.833333333332,20487.083333333332,18894.333333333332
2018-04-21,17886.666666666668,17376.75,17570.833333333332,18016.583333333332,18299.583333333332,18677.166666666668,18975.5,16127.083333333334,12638.083333333334,11051.5,10215.75,9734.083333333334,9780.25,10173.5,11118.083333333334,12694.083333333334,14167.333333333334,16709.25,21079.5,23579.5,24010.833333333332,22923.5,21177.833333333332,19481.5
2018-04-22,18205.916666666668,17329.916666666668,16734.916666666668,16567.583333333332,16760.5,17297.75,17577.416666666668,14929.083333333334,11392.833333333334,9991.916666666666,9194.416666666666,9498.5,9528.5,9818.0,10083.0,10662.083333333334,11969.083333333334,14901.75,20316.083333333332,24153.0,24830.833333333332,23803.666666666668,22142.833333333332,20011.416666666668
2018-04-23,18265.833333333332,17597.166666666668,17106.75,17110.916666666668,17403.916666666668,18780.916666666668,20695.0,18821.916666666668,15257.0,13535.083333333334,13030.416666666666,13111.166666666666,13655.083333333334,14287.833333333334,14725.333333333334,15637.916666666666,17208.666666666668,20008.75,24023.666666666668,27061.25,27155.5,25208.833333333332,22794.0,20337.75
2018-04-24,18694.75,17775.083333333332,17215.333333333332,17345.166666666668,17813.333333333332,19475.416666666668,21000.166666666668,19043.916666666668,15814.5,14441.416666666666,13634.166666666666,13051.833333333334,13404.5,14741.0,15366.583333333334,15884.083333333334,17157.333333333332,19419.416666666668,22680.0,25401.5,26015.25,24601.75,22393.25,20299.666666666668
2018-04-25,19200.5,18121.916666666668,17423.5,17323.583333333332,17809.666666666668,19266.25,20918.166666666668,18874.416666666668,15221.333333333334,14324.083333333334,13414.333333333334,13315.416666666666,13224.333333333334,13131.416666666666,13493.166666666666,14424.5,15841.5,18422.75,22557.5,25701.833333333332,26378.25,24991.25,22456.583333333332,20229.0
2018-04-26,18909.0,17901.5,16996.583333333332,16631.166666666668,16814.416666666668,18291.25,20115.25,18443.583333333332,14980.25,12882.583333333334,12117.833333333334,11413.583333333334,10995.0,11206.916666666666,11468.166666666666,12344.75,14044.5,15977.666666666666,20383.75,24004.25,25050.75,23872.5,21899.0,20213.666666666668
