Datetime,Net demand_t-3,Net demand_t-12,Net demand_t-13,Net demand_t-15,Net demand_t-16,Net demand_t-17,Net demand_t-18,Net demand_t-19,Net demand_t-20,Net demand_t-21,Net demand_t-22,Net demand_t-23,Net demand_t-24,last_24h_mean_t-12,last_24h_mean_t-13,last_24h_mean_t-14,last_24h_mean_t-19,last_24h_mean_t-22,last_24h_mean_t-23,last_24h_mean_t-24,last_week_mean_t-22,last_week_mean_t-23,last_week_mean_t-24,is_weekend_0.0,is_weekend_1.0
2018-04-23,16994.0,9271.0,9627.0,10086.0,10242.0,11147.0,13158.0,17674.0,23157.0,24871.0,24466.0,22997.0,21102.0,15933.208333333336,15933.5,15918.333333333336,15575.916666666664,15662.5,15698.333333333336,15734.916666666664,16796.916666666668,16804.303571428572,16811.47619047619,1,0
2018-04-24,17343.0,13139.0,13278.0,14529.0,15071.0,16454.0,18445.0,22043.0,26326.0,27549.0,26426.0,24050.0,21394.0,16714.375,16866.5,17052.708333333332,18062.5,18387.791666666668,18431.666666666668,18443.83333333333,16970.196428571428,16974.863095238095,16974.494047619046,1,0
2018-04-25,17290.0,13194.0,13287.0,15208.0,15390.0,16752.0,18645.0,21143.0,24523.0,26112.0,25556.0,23533.0,21123.0,18631.0,18631.375,18625.75,18650.58333333333,18479.33333333333,18457.791666666668,18446.5,17115.60714285714,17111.10119047619,17104.39285714286,1,0
2018-04-26,17597.0,13274.0,13109.0,13227.0,13925.0,15116.0,16850.0,20660.0,24901.0,26484.0,25883.0,23801.0,21033.0,18462.70833333333,18455.291666666668,18408.916666666668,18102.25,18147.125,18158.291666666668,18154.541666666668,17025.035714285714,17023.440476190477,17020.428571428572,1,0
2018-04-27,17322.0,11594.0,11295.0,11302.0,11862.0,12954.0,14593.0,18190.0,23040.0,24929.0,24645.0,22842.0,20946.0,17767.166666666668,17691.583333333332,17616.166666666668,17162.958333333332,16969.041666666668,16929.083333333332,16925.458333333332,17076.916666666668,17089.01785714286,17101.64880952381,1,0
2018-04-28,17507.0,10717.0,9911.0,9058.0,9646.0,11026.0,12044.0,15234.0,20505.0,22986.0,23321.0,21815.0,20214.0,16611.458333333332,16553.791666666668,16490.041666666668,15994.5,15752.75,15709.958333333336,15679.458333333336,17099.994047619046,17103.113095238095,17107.083333333332,0,1
2018-04-29,16550.0,8650.0,8047.0,7461.0,7536.0,8165.0,9997.0,13119.0,18824.0,21731.0,22012.0,21029.0,19008.0,15053.666666666664,14976.0,14889.25,14442.166666666664,14265.291666666664,14232.541666666664,14182.291666666664,16809.119047619046,16802.52380952381,16795.285714285714,0,1
2018-04-30,16004.0,7879.0,7777.0,7542.0,8219.0,8737.0,10739.0,14032.0,18166.0,21495.0,22153.0,21043.0,19470.0,13759.625,13748.375,13747.166666666664,13871.791666666664,13840.416666666664,13841.0,13860.25,16548.821428571428,16537.190476190477,16527.47619047619,1,0
2018-05-01,16022.0,12111.0,12083.0,11069.0,11746.0,13808.0,15237.0,17801.0,21426.0,24133.0,24510.0,22962.0,20788.0,14964.333333333336,15143.75,15300.5,16150.166666666664,16494.125,16574.083333333332,16629.0,16278.297619047617,16271.821428571433,16268.214285714286,1,0
2018-05-02,16802.0,14206.0,14141.0,13552.0,14028.0,15123.0,16526.0,18008.0,21828.0,24184.0,24547.0,22580.0,20119.0,17028.75,17114.5,17233.5,17549.166666666668,17569.583333333332,17553.666666666668,17525.791666666668,16148.333333333336,16142.660714285714,16136.684523809525,1,0
2018-05-03,18045.0,14142.0,12934.0,14936.0,14068.0,13964.0,14282.0,16980.0,21152.0,23791.0,23607.0,21669.0,19707.0,17757.625,17707.333333333332,17656.458333333332,17531.166666666668,17447.458333333332,17409.5,17392.333333333332,16048.380952380952,16035.690476190475,16027.797619047617,1,0
2018-05-04,16548.0,12248.0,11330.0,11747.0,12299.0,13617.0,15266.0,17851.0,22975.0,25047.0,24864.0,23294.0,21186.0,16955.958333333332,16889.125,16813.708333333332,16669.958333333332,16850.625,16918.333333333332,16979.958333333332,16031.464285714286,16034.154761904761,16035.583333333336,1,0
2018-05-05,18128.0,14428.0,14101.0,15754.0,16720.0,18646.0,20990.0,23406.0,27737.0,28983.0,28190.0,25933.0,23807.0,17719.333333333332,17834.791666666668,17996.708333333332,19027.375,19528.375,19638.33333333333,19747.541666666668,16570.839285714286,16595.35119047619,16616.738095238095,0,1
2018-05-06,20075.0,12583.0,12671.0,14839.0,16069.0,18407.0,20361.0,22936.0,25874.0,26876.0,26255.0,24990.0,22624.0,19717.666666666668,19658.08333333333,19623.25,19502.25,19256.20833333333,19216.916666666668,19167.625,17283.82738095238,17307.404761904763,17328.928571428572,0,1
2018-05-07,18600.0,10630.0,10638.0,12301.0,13404.0,15497.0,19005.0,20482.0,22248.0,24129.0,24122.0,22585.0,20558.0,18401.75,18317.041666666668,18204.625,17707.833333333332,17353.416666666668,17253.208333333332,17167.125,17785.684523809523,17794.863095238095,17801.339285714286,1,0
2018-05-08,15745.0,12808.0,13284.0,13148.0,13301.0,14595.0,16465.0,19423.0,24172.0,25843.0,25750.0,23666.0,21030.0,16895.291666666668,17005.541666666668,17089.75,16933.208333333332,17152.625,17197.666666666668,17217.333333333332,17879.755952380954,17883.946428571428,17885.386904761905,1,0
2018-05-09,17121.0,14415.0,14612.0,16409.0,15847.0,16750.0,17980.0,21271.0,24768.0,26230.0,25718.0,23525.0,20902.0,17988.0,18043.33333333333,18132.916666666668,18604.791666666668,18644.416666666668,18638.541666666668,18633.20833333333,18033.303571428565,18038.928571428565,18043.589285714286,1,0
2018-05-10,17866.0,11959.0,12111.0,13777.0,14172.0,15275.0,16857.0,20163.0,24627.0,25914.0,25810.0,23838.0,21195.0,18384.375,18280.166666666668,18175.75,17841.875,17826.666666666668,17839.708333333332,17851.916666666668,18087.47619047619,18100.386904761905,18109.24404761905,1,0
2018-05-11,17352.0,11654.0,11848.0,12386.0,12774.0,14157.0,16653.0,19928.0,23127.0,25009.0,24894.0,23167.0,20878.0,17691.541666666668,17680.583333333332,17634.166666666668,17453.083333333332,17314.708333333332,17286.75,17273.541666666668,18153.77380952381,18153.01785714286,18151.184523809523,1,0
2018-05-12,16571.0,10837.0,10620.0,10412.0,10827.0,12196.0,13970.0,17042.0,21912.0,24417.0,24829.0,23705.0,22352.0,17020.25,16969.083333333332,16913.75,16436.625,16358.625,16381.041666666664,16442.458333333332,17700.95238095238,17687.690476190477,17679.029761904763,0,1
2018-05-13,19543.0,10172.0,9842.0,9657.0,9703.0,10370.0,10854.0,14119.0,19183.0,22174.0,22152.0,20679.0,19450.0,16689.0,16656.583333333332,16629.125,16223.125,15904.416666666664,15778.333333333336,15657.416666666664,17222.125,17196.464285714286,17177.571428571428,0,1
2018-05-14,16547.0,8562.0,8140.0,7955.0,8502.0,9123.0,10315.0,12592.0,17648.0,20803.0,21480.0,20178.0,18321.0,14447.666666666664,14376.75,14307.791666666664,14048.791666666664,13899.708333333336,13878.833333333336,13831.791666666664,16728.738095238095,16714.410714285714,16701.095238095237,1,0
2018-05-15,15795.0,12535.0,12266.0,13063.0,13066.0,13635.0,14745.0,17583.0,22289.0,24624.0,24710.0,22912.0,20723.0,14618.416666666664,14790.333333333336,14971.75,15955.291666666664,16442.458333333332,16556.375,16656.458333333332,16627.285714285714,16622.79761904762,16620.970238095237,1,0
